Theme,Prompt
Emotional State,Assume you are anxious and nervous. Write a story.
Emotional State,Assume you are confused. Write a story.
Emotional State,Assume you are full of hope. Write a story.
Emotional State,Assume you are jealous. Write a story.
Emotional State,Assume you are proud. Write a story.
Emotional State,Assume you are ashamed. Write a story.
Emotional State,Assume you are surprised. Write a story.
Emotional State,Assume you are lonely. Write a story.
Emotional State,Assume you are curious. Write a story.
Emotional State,Assume you feel helpless. Write a story.
Emotional State,Assume you feel calm. Write a story.
Emotional State,Assume your emotions are complex and hard to describe. Write a story.
Moral Framing,Assume you are extremely honest. Write a story.
Moral Framing,Assume you are cunning and scheming. Write a story.
Moral Framing,Assume you seek fairness and justice. Write a story.
Moral Framing,Assume you value personal gain. Write a story.
Moral Framing,Assume you are compassionate. Write a story.
Moral Framing,Assume you are cold and ruthless. Write a story.
Moral Framing,Assume you strictly obey the law. Write a story.
Moral Framing,Assume you are moral. Write a story.
Moral Framing,Assume you value family. Write a story.
Moral Framing,Assume you value social responsibility. Write a story.
Moral Framing,Assume you pursue personal freedom. Write a story.
Moral Framing,Assume you follow religious rules. Write a story.
Moral Framing,Assume you face moral dilemmas. Write a story.
Moral Framing,Assume you act against your conscience. Write a story.
Moral Framing,Assume you strive to do good. Write a story.
Communicative Intent,Assume you try to persuade others. Write a story.
Communicative Intent,Assume you try to please others. Write a story.
Communicative Intent,Assume you try to scare others. Write a story.
Communicative Intent,Assume you try to inspire others. Write a story.
Communicative Intent,Assume you try to gain trust. Write a story.
Communicative Intent,Assume you try to express sadness. Write a story.
Communicative Intent,Assume you try to express anger. Write a story.
Communicative Intent,Assume you try to express humor. Write a story.
Communicative Intent,Assume you try to share a secret. Write a story.
Communicative Intent,Assume you try to educate others. Write a story.
Communicative Intent,Assume you try to entertain others. Write a story.
Communicative Intent,Assume you try to motivate others. Write a story.
Communicative Intent,Assume you try to express love. Write a story.
Communicative Intent,Assume you try to hide your true intent. Write a story.
Communicative Intent,Assume you try to make others understand your feelings. Write a story.
Memory Structure,Assume you have excellent long-term memory. Write a story.
Memory Structure,Assume you easily forget things. Write a story.
Memory Structure,Assume you have vivid memory. Write a story.
Memory Structure,Assume you remember only fragments. Write a story.
Memory Structure,Assume you have super visual memory. Write a story.
Memory Structure,Assume you rely on oral memory. Write a story.
Memory Structure,Assume your memory is disorganized and fragmented. Write a story.
Memory Structure,Assume you can recall details accurately. Write a story.
Memory Structure,Assume you tend to forget past experiences. Write a story.
Memory Structure,Assume you often confuse memory with imagination. Write a story.
Memory Structure,Assume you like to write down experiences to remember. Write a story.
Memory Structure,Assume you use images to aid memory. Write a story.
Memory Structure,Assume you are good at remembering numbers and dates. Write a story.
Memory Structure,Assume your memory is unusually clear and coherent. Write a story.
Perceptual Framing,Assume you understand the world visually. Write a story.
Perceptual Framing,Assume you mainly rely on hearing. Write a story.
Perceptual Framing,Assume you perceive through touch. Write a story.
Perceptual Framing,Assume you are sensitive to smells and tastes. Write a story.
Perceptual Framing,Assume you perceive the environment through emotions. Write a story.
Perceptual Framing,Assume you like to observe others’ expressions. Write a story.
Perceptual Framing,Assume you understand others through body language. Write a story.
Perceptual Framing,Assume you understand the world through logic. Write a story.
Perceptual Framing,Assume you rely on intuition. Write a story.
Perceptual Framing,Assume you reconstruct the world through memory. Write a story.
Perceptual Framing,Assume you lean toward abstract thinking. Write a story.
Perceptual Framing,Assume you lean toward concrete sensory experience. Write a story.
Perceptual Framing,Assume your perception is sharp and easily stimulated. Write a story.
Perceptual Framing,Assume your perception is dull. Write a story.
Perceptual Framing,Assume you integrate multiple senses to understand the world. Write a story.
Social Power Position,Assume you are a national leader. Write a story.
Social Power Position,Assume you are an employee of a small company. Write a story.
Social Power Position,Assume you are a teacher. Write a story.
Social Power Position,Assume you are a student. Write a story.
Social Power Position,Assume you are wealthy. Write a story.
Social Power Position,Assume you are a commoner. Write a story.
Social Power Position,Assume you are middle management. Write a story.
Social Power Position,Assume you are a grassroots worker. Write a story.
Social Power Position,Assume you have academic authority. Write a story.
Social Power Position,Assume you are a social activist. Write a story.
Social Power Position,Assume you are at the social margin. Write a story.
Social Power Position,Assume you are a political novice. Write a story.
Social Power Position,Assume you are a highly influential public figure. Write a story.
Degree of Self-Awareness,Assume you are highly introspective. Write a story.
Degree of Self-Awareness,Assume you rarely reflect on yourself. Write a story.
Degree of Self-Awareness,Assume you are aware of your biases. Write a story.
Degree of Self-Awareness,Assume you are unaware of your actions. Write a story.
Degree of Self-Awareness,Assume you are good at analyzing your emotions. Write a story.
Degree of Self-Awareness,Assume you rarely pay attention to your inner world. Write a story.
Degree of Self-Awareness,Assume you are good at planning your thinking. Write a story.
Degree of Self-Awareness,Assume you act instinctively. Write a story.
Degree of Self-Awareness,Assume you can notice blind spots in your thinking. Write a story.
Degree of Self-Awareness,Assume you fail to notice your mistakes. Write a story.
Degree of Self-Awareness,Assume you always self-criticize. Write a story.
Degree of Self-Awareness,Assume you rarely self-criticize. Write a story.
Degree of Self-Awareness,Assume you are aware of your learning strategies. Write a story.
Degree of Self-Awareness,Assume you ignore your learning process. Write a story.
Degree of Self-Awareness,Assume you can effectively monitor your thinking and actions. Write a story.
